City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
26,Lagoa,PT,39.05,-27.9833,61.5,92,100,13.04,overcast clouds,2022-05-20 20:54:22
27,Muzaffarabad,PK,34.37,73.4711,66.13,64,77,8.55,broken clouds,2022-05-20 20:54:23
28,Corrientes,AR,-27.4806,-58.8341,66.16,62,0,8.05,clear sky,2022-05-20 20:54:23
29,Carnarvon,AU,-24.8667,113.6333,68.67,65,0,13.33,clear sky,2022-05-20 20:54:24
30,Iqaluit,CA,63.7506,-68.5145,29.93,92,100,9.22,light snow,2022-05-20 20:54:24
31,Ponta Do Sol,PT,32.6667,-17.1,68.72,83,56,1.9,broken clouds,2022-05-20 20:54:24
32,East London,ZA,-33.0153,27.9116,61.65,73,100,9.13,light rain,2022-05-20 20:54:25
33,Puliyur,IN,10.6333,78.8333,82.2,69,40,6.91,haze,2022-05-20 20:54:25
34,Sault Sainte Marie,CA,46.5168,-84.3333,59.29,93,100,12.66,mist,2022-05-20 20:50:45
35,Garchitorena,PH,13.8804,123.6946,79.81,84,100,4.41,overcast clouds,2022-05-20 20:54:26
36,Birao,CF,10.2849,22.7882,84.96,47,33,8.16,scattered clouds,2022-05-20 20:54:26
37,Bjornevatn,NO,69.6672,29.9847,37.74,70,75,14.97,broken clouds,2022-05-20 20:54:27
38,Souillac,MU,-20.5167,57.5167,75.58,83,40,8.05,scattered clouds,2022-05-20 20:54:27
39,Vaini,TO,-21.2,-175.2,77.16,83,40,4.61,scattered clouds,2022-05-20 20:54:28
40,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.99,74,46,1.48,scattered clouds,2022-05-20 20:54:28
41,Impfondo,CG,1.6381,18.0667,70.09,98,100,2.75,overcast clouds,2022-05-20 20:54:29
42,Rikitea,PF,-23.1203,-134.9692,73.09,78,100,3.76,overcast clouds,2022-05-20 20:54:29
43,Guangyuan,CN,32.442,105.823,65.25,90,100,0.69,light rain,2022-05-20 20:54:29
44,Kapaa,US,22.0752,-159.319,83.48,76,38,3.0,scattered clouds,2022-05-20 20:54:30
45,Barrow,US,71.2906,-156.7887,31.8,99,100,9.06,overcast clouds,2022-05-20 20:54:30
46,Hambantota,LK,6.1241,81.1185,78.89,85,69,14.5,broken clouds,2022-05-20 20:54:31
47,Port Alfred,ZA,-33.5906,26.891,57.18,94,100,4.0,overcast clouds,2022-05-20 20:54:31
48,Great Yarmouth,GB,52.6083,1.7305,61.05,90,34,15.3,scattered clouds,2022-05-20 20:55:32
49,Deer Lake,CA,49.1667,-57.4316,64.26,27,20,8.05,few clouds,2022-05-20 20:55:32
50,Marsh Harbour,BS,26.5412,-77.0636,81.36,74,100,12.1,overcast clouds,2022-05-20 20:55:33
51,Meulaboh,ID,4.1363,96.1285,77.02,89,92,3.58,overcast clouds,2022-05-20 20:55:33
52,Zamora,EC,-4.0692,-78.9567,90.64,92,95,3.06,light rain,2022-05-20 20:55:34
53,Visegrad,BA,43.7847,19.2992,56.64,68,12,2.57,few clouds,2022-05-20 20:55:34
54,Victoria,HK,22.2855,114.1577,78.94,82,9,1.01,clear sky,2022-05-20 20:52:54
55,Port Elizabeth,ZA,-33.918,25.5701,57.49,97,100,8.05,overcast clouds,2022-05-20 20:55:35
56,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,40,11.41,light rain,2022-05-20 20:55:35
